,Years,Filter_Years
0,1970.0,1970.0
1,1971.0,1971.0
2,1970.0,1971.0
3,1972.0,1972.0
4,1971.0,1972.0
5,1970.0,1972.0
6,1973.0,1973.0
7,1972.0,1973.0
8,1971.0,1973.0
9,1970.0,1973.0
10,1974.0,1974.0
11,1973.0,1974.0
12,1972.0,1974.0
13,1971.0,1974.0
14,1970.0,1974.0
15,1975.0,1975.0
16,1974.0,1975.0
17,1973.0,1975.0
18,1972.0,1975.0
19,1971.0,1975.0
20,1970.0,1975.0
21,1976.0,1976.0
22,1975.0,1976.0
23,1974.0,1976.0
24,1973.0,1976.0
25,1972.0,1976.0
26,1971.0,1976.0
27,1970.0,1976.0
28,1977.0,1977.0
29,1976.0,1977.0
30,1975.0,1977.0
31,1974.0,1977.0
32,1973.0,1977.0
33,1972.0,1977.0
34,1971.0,1977.0
35,1970.0,1977.0
36,1978.0,1978.0
37,1977.0,1978.0
38,1976.0,1978.0
39,1975.0,1978.0
40,1974.0,1978.0
41,1973.0,1978.0
42,1972.0,1978.0
43,1971.0,1978.0
44,1970.0,1978.0
45,1979.0,1979.0
46,1978.0,1979.0
47,1977.0,1979.0
48,1976.0,1979.0
49,1975.0,1979.0
50,1974.0,1979.0
51,1973.0,1979.0
52,1972.0,1979.0
53,1971.0,1979.0
54,1970.0,1979.0
55,1980.0,1980.0
56,1979.0,1980.0
57,1978.0,1980.0
58,1977.0,1980.0
59,1976.0,1980.0
60,1975.0,1980.0
61,1974.0,1980.0
62,1973.0,1980.0
63,1972.0,1980.0
64,1971.0,1980.0
65,1970.0,1980.0
66,1981.0,1981.0
67,1980.0,1981.0
68,1979.0,1981.0
69,1978.0,1981.0
70,1977.0,1981.0
71,1976.0,1981.0
72,1975.0,1981.0
73,1974.0,1981.0
74,1973.0,1981.0
75,1972.0,1981.0
76,1971.0,1981.0
77,1970.0,1981.0
78,1982.0,1982.0
79,1981.0,1982.0
80,1980.0,1982.0
81,1979.0,1982.0
82,1978.0,1982.0
83,1977.0,1982.0
84,1976.0,1982.0
85,1975.0,1982.0
86,1974.0,1982.0
87,1973.0,1982.0
88,1972.0,1982.0
89,1971.0,1982.0
90,1970.0,1982.0
91,1983.0,1983.0
92,1982.0,1983.0
93,1981.0,1983.0
94,1980.0,1983.0
95,1979.0,1983.0
96,1978.0,1983.0
97,1977.0,1983.0
98,1976.0,1983.0
99,1975.0,1983.0
100,1974.0,1983.0
101,1973.0,1983.0
102,1972.0,1983.0
103,1971.0,1983.0
104,1970.0,1983.0
105,1984.0,1984.0
106,1983.0,1984.0
107,1982.0,1984.0
108,1981.0,1984.0
109,1980.0,1984.0
110,1979.0,1984.0
111,1978.0,1984.0
112,1977.0,1984.0
113,1976.0,1984.0
114,1975.0,1984.0
115,1974.0,1984.0
116,1973.0,1984.0
117,1972.0,1984.0
118,1971.0,1984.0
119,1970.0,1984.0
120,1985.0,1985.0
121,1984.0,1985.0
122,1983.0,1985.0
123,1982.0,1985.0
124,1981.0,1985.0
125,1980.0,1985.0
126,1979.0,1985.0
127,1978.0,1985.0
128,1977.0,1985.0
129,1976.0,1985.0
130,1975.0,1985.0
131,1974.0,1985.0
132,1973.0,1985.0
133,1972.0,1985.0
134,1971.0,1985.0
135,1970.0,1985.0
136,1986.0,1986.0
137,1985.0,1986.0
138,1984.0,1986.0
139,1983.0,1986.0
140,1982.0,1986.0
141,1981.0,1986.0
142,1980.0,1986.0
143,1979.0,1986.0
144,1978.0,1986.0
145,1977.0,1986.0
146,1976.0,1986.0
147,1975.0,1986.0
148,1974.0,1986.0
149,1973.0,1986.0
150,1972.0,1986.0
151,1971.0,1986.0
152,1970.0,1986.0
153,1987.0,1987.0
154,1986.0,1987.0
155,1985.0,1987.0
156,1984.0,1987.0
157,1983.0,1987.0
158,1982.0,1987.0
159,1981.0,1987.0
160,1980.0,1987.0
161,1979.0,1987.0
162,1978.0,1987.0
163,1977.0,1987.0
164,1976.0,1987.0
165,1975.0,1987.0
166,1974.0,1987.0
167,1973.0,1987.0
168,1972.0,1987.0
169,1971.0,1987.0
170,1970.0,1987.0
171,1988.0,1988.0
172,1987.0,1988.0
173,1986.0,1988.0
174,1985.0,1988.0
175,1984.0,1988.0
176,1983.0,1988.0
177,1982.0,1988.0
178,1981.0,1988.0
179,1980.0,1988.0
180,1979.0,1988.0
181,1978.0,1988.0
182,1977.0,1988.0
183,1976.0,1988.0
184,1975.0,1988.0
185,1974.0,1988.0
186,1973.0,1988.0
187,1972.0,1988.0
188,1971.0,1988.0
189,1970.0,1988.0
190,1989.0,1989.0
191,1988.0,1989.0
192,1987.0,1989.0
193,1986.0,1989.0
194,1985.0,1989.0
195,1984.0,1989.0
196,1983.0,1989.0
197,1982.0,1989.0
198,1981.0,1989.0
199,1980.0,1989.0
200,1979.0,1989.0
201,1978.0,1989.0
202,1977.0,1989.0
203,1976.0,1989.0
204,1975.0,1989.0
205,1974.0,1989.0
206,1973.0,1989.0
207,1972.0,1989.0
208,1971.0,1989.0
209,1970.0,1989.0
210,1990.0,1990.0
211,1989.0,1990.0
212,1988.0,1990.0
213,1987.0,1990.0
214,1986.0,1990.0
215,1985.0,1990.0
216,1984.0,1990.0
217,1983.0,1990.0
218,1982.0,1990.0
219,1981.0,1990.0
220,1980.0,1990.0
221,1979.0,1990.0
222,1978.0,1990.0
223,1977.0,1990.0
224,1976.0,1990.0
225,1975.0,1990.0
226,1974.0,1990.0
227,1973.0,1990.0
228,1972.0,1990.0
229,1971.0,1990.0
230,1970.0,1990.0
231,1991.0,1991.0
232,1990.0,1991.0
233,1989.0,1991.0
234,1988.0,1991.0
235,1987.0,1991.0
236,1986.0,1991.0
237,1985.0,1991.0
238,1984.0,1991.0
239,1983.0,1991.0
240,1982.0,1991.0
241,1981.0,1991.0
242,1980.0,1991.0
243,1979.0,1991.0
244,1978.0,1991.0
245,1977.0,1991.0
246,1976.0,1991.0
247,1975.0,1991.0
248,1974.0,1991.0
249,1973.0,1991.0
250,1972.0,1991.0
251,1971.0,1991.0
252,1970.0,1991.0
253,1992.0,1992.0
254,1991.0,1992.0
255,1990.0,1992.0
256,1989.0,1992.0
257,1988.0,1992.0
258,1987.0,1992.0
259,1986.0,1992.0
260,1985.0,1992.0
261,1984.0,1992.0
262,1983.0,1992.0
263,1982.0,1992.0
264,1981.0,1992.0
265,1980.0,1992.0
266,1979.0,1992.0
267,1978.0,1992.0
268,1977.0,1992.0
269,1976.0,1992.0
270,1975.0,1992.0
271,1974.0,1992.0
272,1973.0,1992.0
273,1972.0,1992.0
274,1971.0,1992.0
275,1970.0,1992.0
276,1993.0,1993.0
277,1992.0,1993.0
278,1991.0,1993.0
279,1990.0,1993.0
280,1989.0,1993.0
281,1988.0,1993.0
282,1987.0,1993.0
283,1986.0,1993.0
284,1985.0,1993.0
285,1984.0,1993.0
286,1983.0,1993.0
